Rank,Club,Country,Level,Elo,From,To
None,Crystal Palace,ENG,2,1365.15844727,1964-07-01,1964-08-17
None,Crystal Palace,ENG,2,1365.28210449,1964-08-18,1964-08-22
None,Crystal Palace,ENG,2,1356.12084961,1964-08-23,1964-08-25
None,Crystal Palace,ENG,2,1348.61071777,1964-08-26,1964-08-29
None,Crystal Palace,ENG,2,1343.93078613,1964-08-30,1964-09-02
None,Crystal Palace,ENG,2,1351.91918945,1964-09-03,1964-09-05
None,Crystal Palace,ENG,2,1360.7611084,1964-09-06,1964-09-09
None,Crystal Palace,ENG,2,1366.90856934,1964-09-10,1964-09-12
None,Crystal Palace,ENG,2,1378.99865723,1964-09-13,1964-09-14
None,Crystal Palace,ENG,2,1379.15844727,1964-09-15,1964-09-15
None,Crystal Palace,ENG,2,1391.5682373,1964-09-16,1964-09-19
None,Crystal Palace,ENG,2,1397.50354004,1964-09-20,1964-09-23
None,Crystal Palace,ENG,2,1400.37280273,1964-09-24,1964-09-26
None,Crystal Palace,ENG,2,1385.92785645,1964-09-27,1964-09-30
None,Crystal Palace,ENG,2,1395.40844727,1964-10-01,1964-10-03
None,Crystal Palace,ENG,2,1406.73010254,1964-10-04,1964-10-07
None,Crystal Palace,ENG,2,1405.03161621,1964-10-08,1964-10-10
None,Crystal Palace,ENG,2,1400.8527832,1964-10-11,1964-10-13
None,Crystal Palace,ENG,2,1405.67736816,1964-10-14,1964-10-17
None,Crystal Palace,ENG,2,1414.66235352,1964-10-18,1964-10-24
None,Crystal Palace,ENG,2,1409.89770508,1964-10-25,1964-10-31
None,Crystal Palace,ENG,2,1401.05981445,1964-11-01,1964-11-07
None,Crystal Palace,ENG,2,1414.36083984,1964-11-08,1964-11-14
None,Crystal Palace,ENG,2,1422.9708252,1964-11-15,1964-11-21
None,Crystal Palace,ENG,2,1425.28564453,1964-11-22,1964-11-25
None,Crystal Palace,ENG,2,1433.91442871,1964-11-26,1964-11-28
None,Crystal Palace,ENG,2,1431.40100098,1964-11-29,1964-12-05
None,Crystal Palace,ENG,2,1427.26940918,1964-12-06,1964-12-09
None,Crystal Palace,ENG,2,1430.12060547,1964-12-10,1964-12-12
None,Crystal Palace,ENG,2,1434.02331543,1964-12-13,1964-12-16
None,Crystal Palace,ENG,2,1451.63232422,1964-12-17,1964-12-19
None,Crystal Palace,ENG,2,1447.67687988,1964-12-20,1964-12-23
None,Crystal Palace,ENG,2,1449.04980469,1964-12-24,1964-12-26
None,Crystal Palace,ENG,2,1455.49291992,1964-12-27,1964-12-28
None,Crystal Palace,ENG,2,1457.36181641,1964-12-29,1965-01-02
None,Crystal Palace,ENG,2,1453.10327148,1965-01-03,1965-01-16
None,Crystal Palace,ENG,2,1462.17272949,1965-01-17,1965-01-20
None,Crystal Palace,ENG,2,1467.27404785,1965-01-21,1965-01-23
None,Crystal Palace,ENG,2,1469.96911621,1965-01-24,1965-02-03
None,Crystal Palace,ENG,2,1463.56030273,1965-02-04,1965-02-06
None,Crystal Palace,ENG,2,1455.4954834,1965-02-07,1965-02-10
None,Crystal Palace,ENG,2,1460.21984863,1965-02-11,1965-02-13
None,Crystal Palace,ENG,2,1464.20336914,1965-02-14,1965-02-27
None,Crystal Palace,ENG,2,1466.78125,1965-02-28,1965-03-13
None,Crystal Palace,ENG,2,1471.84265137,1965-03-14,1965-03-16
None,Crystal Palace,ENG,2,1475.77148438,1965-03-17,1965-03-17
None,Crystal Palace,ENG,2,1477.42163086,1965-03-18,1965-03-20
None,Crystal Palace,ENG,2,1464.3861084,1965-03-21,1965-03-23
None,Crystal Palace,ENG,2,1465.00610352,1965-03-24,1965-03-24
None,Crystal Palace,ENG,2,1465.15368652,1965-03-25,1965-03-27
None,Crystal Palace,ENG,2,1458.04675293,1965-03-28,1965-04-03
None,Crystal Palace,ENG,2,1454.96411133,1965-04-04,1965-04-07
None,Crystal Palace,ENG,2,1466.26281738,1965-04-08,1965-04-10
None,Crystal Palace,ENG,2,1469.86547852,1965-04-11,1965-04-16
None,Crystal Palace,ENG,2,1486.25976562,1965-04-17,1965-04-17
None,Crystal Palace,ENG,2,1486.00390625,1965-04-18,1965-04-19
None,Crystal Palace,ENG,2,1482.87438965,1965-04-20,1965-04-24
None,Crystal Palace,ENG,2,1479.45947266,1965-04-25,1965-04-28
None,Crystal Palace,ENG,2,1488.41577148,1965-04-29,1965-05-04
None,Crystal Palace,ENG,2,1493.31530762,1965-05-05,1965-05-12
None,Crystal Palace,ENG,2,1485.60205078,1965-05-13,1965-05-19
None,Crystal Palace,ENG,2,1493.93457031,1965-05-20,1965-08-21
None,Crystal Palace,ENG,2,1490.94885254,1965-08-22,1965-08-25
None,Crystal Palace,ENG,2,1490.01208496,1965-08-26,1965-08-28
None,Crystal Palace,ENG,2,1493.5423584,1965-08-29,1965-09-01
None,Crystal Palace,ENG,2,1488.32958984,1965-09-02,1965-09-04
None,Crystal Palace,ENG,2,1490.89611816,1965-09-05,1965-09-08
None,Crystal Palace,ENG,2,1491.2878418,1965-09-09,1965-09-11
None,Crystal Palace,ENG,2,1497.67346191,1965-09-12,1965-09-15
None,Crystal Palace,ENG,2,1500.4564209,1965-09-16,1965-09-18
None,Crystal Palace,ENG,2,1511.68994141,1965-09-19,1965-09-22
None,Crystal Palace,ENG,2,1511.69604492,1965-09-23,1965-09-25
None,Crystal Palace,ENG,2,1504.69360352,1965-09-26,1965-09-29
None,Crystal Palace,ENG,2,1503.65490723,1965-09-30,1965-10-02
None,Crystal Palace,ENG,2,1509.32873535,1965-10-03,1965-10-06
None,Crystal Palace,ENG,2,1509.35864258,1965-10-07,1965-10-09
